Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Epc2,[0.25972891 2.01503215 5.36515129],[0.25972891 0.11857045 0.49642291],[2.66256362 1.18651277 6.88882469],0.61
Epcam,[ 0.83853538  2.03813703 12.37752007],[0.83853538 0.62802422 1.15213054],[6.07295775 3.74310523 9.2272454 ],3.61
Epdr1,[2.18659328e-02 6.34760475e+00 3.85774952e+01],[3.46944695e-18            nan            nan],[ 6.25981321  2.70162421 17.80884291],0.13
Epha2,[ 0.7551411  35.94772844 47.58453275],[0.7551411  0.44419315 1.08449165],[1.32371459 0.90313643 1.89244854],0.98
Epha4,[0.51836087 1.39192592 9.91955601],[0.51836087 0.37966323 0.71223351],[ 7.12649707  4.52494447 11.00312404],2.69
Ephb2,[ 0.25453159 15.85258996 30.57910607],[0.01272658        nan        nan],[7.65799477        nan        nan],0.48
Ephb4,[0.22720421 1.48488036 3.03053967],[0.01136021        nan        nan],[4.73496196        nan        nan],0.4
Ephx1,[ 0.23149886 21.34321886 29.66552302],[0.01157494        nan        nan],[5.51801146        nan        nan],0.32
Ephx2,[1.05465645 1.94347349 5.10768297],[1.05465645 0.58571699 2.15030111],[2.62812073 0.85063351 6.45766142],1.8
Epn1,[ 0.74892862  5.48312932 13.41318722],[0.74892862 0.46338245 1.21163762],[2.44626498 1.3100345  4.88523448],1.61
Epn2,[  1.10048751  53.95844736 104.56105812],[1.10048751 0.74594048 1.47422558],[1.93780702 1.44957046 2.58142864],2.09
Eprs,[ 2.19088552  3.90325791 22.65335335],[2.19088552 1.58604872 3.26067375],[5.80370394 2.88351672 9.80498782],8.14
Eps8l2,[ 0.17281071 57.5295649  94.4340966 ],[0.18145124 0.11984449 0.28646042],[1.54299882 0.89609046 2.69585162],0.28
Erbb2ip,[0.18072417 2.72686587 3.32915973],[0.00903621        nan        nan],[1.22087403        nan        nan],0.21
Erc1,[0.19016906 0.20167198 2.61665923],[2.77555756e-17            nan            nan],[12.97482785         nan         nan],1.27
Ercc1,[ 1.31270962 11.09101004 33.74441286],[1.31270962 0.93879793 1.85585474],[3.04250133 1.90170366 5.0532603 ],3.57
Ercc3,[0.41802361 1.90712857 5.50323201],[0.41802361 0.2349333  0.72659325],[2.88561144 1.36723019 6.15853463],0.99
Ercc5,[ 0.47710328  6.7053818  38.53027983],[0.45324811 0.35323512 0.61153538],[6.09094274 4.21585792 8.73713202],2.56
Ercc6,[ 0.09120863 22.42017171 24.45764134],[0.09120863 0.0453935  0.21088545],[1.09087663 0.42906274 2.76010768],0.1
Ercc6l,[  0.77132432  61.87682461 105.63058574],[0.77132432 0.49001463 1.04587217],[1.70711064 1.23418621 2.34875117],1.3
Ercc8,[0.18491513 0.40606747 3.33952406],[0.18491513 0.08010588 0.32168926],[ 8.22406206  4.15032567 21.74210237],1.04
Ergic1,[ 1.49374012  8.39114952 16.54890138],[1.49374012 0.9614178  2.34585222],[1.97218526 1.08042476 3.9518403 ],2.5
Ergic2,[ 0.59175339  1.75142154 12.71109562],[0.59175339 0.43185772 0.80943699],[ 7.2575878   4.63178461 11.35274366],3.21
Ergic3,[1.34472322 1.93211765 5.23890128],[1.34472322 0.71702062 2.89186925],[2.71148151 0.75615346 7.44503472],2.15
Eri1,[0.3055065  0.85264365 6.04038546],[0.3055065  0.19967241 0.44940923],[ 7.08430242  4.25981337 12.2335835 ],1.59
Eri2,[  0.15080365 114.34410798 128.11800719],[0.15080365 0.07991206 0.29305768],[1.12046007 0.53107043 2.38750988],0.17
Eri3,[ 1.13904271  5.96715084 15.69837444],[1.13904271 0.74971589 1.77638768],[2.630799   1.45057942 5.02446464],2.52
Erich1,[ 0.71810791 35.01694132 64.68093153],[0.71810791 0.46687707 0.97139411],[1.84713253 1.30426511 2.53772788],1.3
Erlin1,[ 0.32326036 85.01930493 93.09673839],[0.33942338 0.2076184  0.52937982],[1.09500705 0.63597757 1.85390882],0.35
Ermp1,[0.37936049 0.92827273 5.35829593],[0.37936049 0.21798613 0.64415234],[ 5.77232937  2.81984165 11.86036317],1.55
Ero1l,[0.65689017 2.57395033 4.05615901],[0.65689017 0.2913924  1.37558045],[1.57584976 0.59140334 4.82783053],0.82
Erp29,[0.53314435 0.53578127 8.53043085],[0.53314435 0.39803496 0.71044345],[15.92148001 10.65063974 23.84509328],4.25
Esco1,[ 0.31364192 28.65043971 73.19556245],[0.31364192 0.22648865 0.43741702],[2.55477972 1.74772367 3.88501377],0.79
Esco2,[ 0.7338262   2.54469071 22.27705172],[0.7338262  0.58153499 0.93433449],[ 8.75432588  6.14172411 12.17956177],4.99
Esd,[  2.33216578 328.38857032 466.31452381],[2.33216578 1.82652444 3.04934402],[1.42000839 1.07571425 1.84362265],3.29
Esf1,[ 1.28816686  5.14579829 28.44315836],[1.28816686 0.98034535 1.77882407],[5.52745303 3.33166123 8.31198363],5.69
Espl1,[0.42123241 1.39770949 5.98860913],[0.42123241 0.25065036 0.69397035],[4.28458786 2.13053015 8.55642272],1.39
Espn,[8.72292533e-03 1.04355855e+01 2.58656361e+01],[0.00043615        nan        nan],[2.55295739        nan        nan],0.02
Esrra,[0.28348237 1.187952   3.1067769 ],[0.28348237 0.09900864 0.58760913],[2.61523773 1.01222044 9.19656512],0.6
Esyt2,[ 0.30606946 30.04989411 39.41152213],[0.32137293 0.20882146 0.5006446 ],[1.27219006 0.77282895 2.08622618],0.4
Etaa1,[ 1.01181355  2.84622339 17.07596616],[1.01181355 0.76216516 1.37434274],[5.99951718 3.69186181 9.22862237],4.48
Etf1,[ 1.00523191  0.92672607 12.36203373],[1.00523191 0.7364817  1.43196046],[13.339469    7.48356059 21.4218908 ],6.43
Etfa,[0.69093422 0.39552304 9.53096434],[0.69093422 0.48747131 0.96397658],[24.09711544 14.72586804 40.14383008],6.06
Etfb,[ 2.16194011 14.48048472 63.83608032],[2.27003712 1.63231609 3.00340445],[4.01166358 2.89565948 6.91545645],8.29
Etfdh,[0.77146804 2.39525092 6.8161574 ],[0.77146804 0.38222866 1.44667783],[2.84569659 1.14476001 7.99643368],1.66
Ethe1,[0.51153074 3.40350188 8.63713169],[0.51153074 0.30713005 0.83594761],[2.53771909 1.3630525  5.1052946 ],1.13
Etnk1,[1.17733901 1.3699383  3.73794262],[1.17733901 0.41947082 3.3349615 ],[2.72854816        nan        nan],1.73
Ets2,[0.10493865 0.30597588 3.55116514],[0.10493865 0.02461635 0.20066772],[11.60602962         nan         nan],0.91
Etv3,[0.03215743 0.7927969  4.47299503],[0.03215743 0.00758687 0.07639762],[5.64204403        nan        nan],0.17
Etv4,[0.06542208 0.8303342  6.76074482],[0.06542208 0.03895373 0.10503757],[ 8.14219725  4.55535325 14.82703826],0.49
Etv6,[0.71308174 4.08215051 5.23148673],[0.71308174 0.29616752 1.41108693],[1.28155165 0.54344291 4.34809945],0.78
Evc2,[ 0.12478258  6.24518299 18.14354959],[0.12478258 0.07203604 0.19749029],[2.90520704 1.63894342 5.72736737],0.36
Evi5,[0.15464    1.90926467 8.14026857],[0.15464    0.0927089  0.26024099],[4.26356214 2.20853519 7.90655623],0.61
Evl,[0.2800064  1.37059482 5.85010363],[0.2800064  0.18073731 0.43552232],[4.26829543 2.3957443  7.37217391],0.99
Ewsr1,[ 1.88168066  2.00140193 17.39863911],[1.88168066 1.37074214 2.6862465 ],[ 8.69322591  4.78863944 14.44624936],8.43
Exd2,[0.41844726 2.01370027 3.83622893],[0.41844726 0.18684243 0.84962249],[1.90506451 0.78008306 5.34228912],0.66
Exo1,[0.44081636 0.74411972 4.46378055],[0.44081636 0.25790741 0.73261062],[ 5.99873977  2.92844745 12.31567316],1.66
Exoc1,[0.48588797 1.92711812 6.16856787],[0.48588797 0.29552465 0.79797342],[3.20092879 1.58048583 6.27405749],1.24
Exoc3,[0.28470531 0.78007491 5.53863604],[0.28470531 0.15369722 0.46562162],[ 7.10013359  3.65654461 15.55603889],1.48
Exoc3l,[0.31604685 4.81033443 9.07779774],[0.31604685 0.18175102 0.52171239],[1.88714483 1.05065714 3.77241795],0.56
Exoc4,[ 1.46639835 79.53730982 82.56453738],[1.46639835 0.82079768 2.11635459],[1.03806047 0.69726503 1.45470472],1.49
Exoc5,[2.45810465e-02 3.97614077e+00 3.99454129e+01],[0.00122905        nan        nan],[39.883721       nan       nan],0.25
Exosc1,[ 1.4654354  29.49543611 60.69533824],[1.4654354  0.98643977 1.97669322],[2.05778745 1.49708542 3.83799278],2.87
Exosc10,[0.64480427 1.63949201 3.92761526],[0.64480427 0.25592689 1.41741516],[2.39562939 0.77591567 8.60041079],1.11
Exosc4,[ 0.59665982  1.11355852 10.4233243 ],[0.59665982 0.40704563 0.84880505],[ 9.36037405  5.55733332 16.38408392],3.64
Exosc5,[ 1.10997819  2.11953493 19.62552239],[1.10997819 0.85898622 1.45471682],[ 9.25935311  6.07250029 13.57901025],6.75
Exosc7,[ 1.1184399   1.44445617 13.49549115],[1.1184399  0.83210449 1.52480471],[ 9.34295651  5.75214558 14.69250779],5.89
Exosc8,[ 1.37571428  3.11382838 25.73243435],[1.37571428 1.05886435 1.82173241],[ 8.26392183  5.24559134 12.35718119],7.89
Exosc9,[ 0.83741636  2.80673801 11.82312407],[0.83741636 0.58760619 1.23567629],[4.21240744 2.31324551 7.09420234],2.72
Ext2,[0.561346   1.48297604 6.16577979],[0.561346   0.35929244 0.87619743],[4.15770694 2.19195386 7.73936872],1.69
Extl3,[0.46402149 2.70705325 6.48008689],[0.02320107        nan        nan],[9.50330215        nan        nan],0.95
Eya3,[ 0.70375922  2.22722931 14.72474915],[0.70375922 0.52444123 0.95314471],[ 6.61124075  4.2307144  10.08883841],3.54
Ezh1,[  1.0765378  293.93372018 417.11686333],[1.0765378  0.80879918 1.42713195],[1.41908476 1.04443823 1.9573954 ],1.52
Ezh2,[ 1.56575379 25.26612805 94.98241994],[1.56575379 1.1669558  2.01411614],[3.75927882 2.76556868 5.97939996],5.54
Ezr,[ 1.14688562  2.70139601 35.4736396 ],[1.14688562 0.92589426 1.43191948],[13.13159545  9.51145784 17.68198707],10.57
F11r,[  1.26997473 161.19395594 211.44542649],[1.26997473 0.98247235 1.76727353],[1.27239302 0.9283405  1.73621786],1.65
F2r,[ 0.51645337 16.69100213 18.43162172],[0.51645337 0.25405108 0.83213236],[1.10428491 0.64545504 2.81645036],0.55
F2rl1,[  0.8409698   97.64199045 160.53747562],[0.8409698  0.6445794  1.12865229],[1.64414382 1.19891585 2.23268452],1.37
F730043M19Rik,[8.46754797e-03 1.10902465e+01 2.74056070e+01],[0.00846755 0.00180613 0.03939487],[2.54527932        nan        nan],0.02
F8,[ 0.11019602 22.01615292 25.61796007],[4.16333634e-17            nan            nan],[1.16359839 0.50038968 2.77281413],0.13
Fabp5,[  0.3059491  106.48861722 171.10622132],[0.3059491  0.21321161 0.44081713],[1.60680292 1.05045443 2.46961944],0.49
Fads1,[ 0.53633016  2.86326915 10.25524399],[0.53633016 0.37863966 0.80576843],[3.58165561 2.02216557 5.73816474],1.62
Faf1,[  3.61164209 111.85759457 137.39860052],[3.61164209 1.99165211 4.99629294],[1.22833502 0.86769809 1.62508439],4.3
Faf2,[0.81761039 1.29179058 6.1799908 ],[0.81761039 0.52553909 1.30400465],[4.78405005 2.33752176 9.2338866 ],2.4
Fam103a1,[  1.59576263 651.33356235 861.59414459],[1.67555077 1.264679   2.20444115],[1.28313105 0.93349369 1.69432929],2.11
Fam110a,[0.23142815 2.1019087  5.87160798],[0.23142815 0.1269066  0.40732588],[2.79346481 1.36949633 5.78316775],0.58
Fam110b,[ 0.11906207 19.57410724 36.32478006],[1.38777878e-17            nan            nan],[7.36735398        nan        nan],0.22
Fam111a,[0.04550391 2.16856347 3.14390686],[0.0022752       nan       nan],[1.44976474        nan        nan],0.06
Fam114a1,[ 0.03557137 12.86812653 30.85398301],[0.00177857        nan        nan],[2.46963709 0.96266486 7.22186343],0.09
Fam114a2,[ 2.31798714 20.53596417 39.76046498],[2.4338865  1.54276761 3.36483041],[1.76188577 1.19480017 3.80669242],4.03
Fam115a,[ 0.04413397 14.24502358 24.44852235],[0.0022067       nan       nan],[1.7677737  0.64476436 5.25205286],0.08
Fam118b,[  0.50082999 132.76789515 328.38256314],[0.50082999 0.38595355 0.65753253],[2.47335821 1.803032   3.4139967 ],1.23
Fam120a,[0.31239977 0.93164542 5.61821261],[0.31239977 0.17993995 0.51862794],[ 6.03041943  3.05955569 12.19217466],1.41
Fam120b,[ 0.11059618  8.25204078 24.93962905],[0.11059618 0.0604955  0.17854903],[3.02223774 1.74520559 5.46979389],0.33
Fam120c,[2.12320662e-02 9.26872519e+00 2.30676840e+01],[0.0010616       nan       nan],[2.56342852        nan        nan],0.05
Fam122b,[0.16717868 1.12425932 3.48185828],[2.77555756e-17            nan            nan],[3.09702416        nan        nan],0.45
Fam126a,[0.1357614  2.12761991 3.37268166],[5.55111512e-17            nan            nan],[1.58518993        nan        nan],0.2
Fam126b,[ 0.35663066  6.85127629 13.03755035],[0.35663066 0.2113478  0.55753744],[1.90293747 1.10887964 3.72138635],0.65
Fam129c,[0.01595049 0.40567153 3.38216282],[3.46944695e-18            nan            nan],[8.33719541        nan        nan],0.13
Fam132b,[ 0.06270821 19.43459583 26.50180557],[0.06270821 0.02906261 0.14252576],[1.36364068 0.52709908 3.7049999 ],0.09
Fam133b,[ 0.90209169  2.09668619 11.84886597],[0.90209169 0.65518783 1.27574057],[5.65123481 3.30985668 9.08083235],3.56
Fam134b,[ 0.11552989 21.67970814 32.85114728],[2.77555756e-17            nan            nan],[6.01572004        nan        nan],0.17
Fam134c,[0.07968659 0.7957528  5.22815616],[0.07968659 0.03092116 0.15250236],[ 6.57007569  3.00201893 18.51260137],0.48
Fam136a,[ 1.17118484  2.46595859 20.38782182],[1.17118484 0.90735059 1.54110124],[ 8.26770648  5.35575062 12.13198625],6.57
Fam154b,[8.56210726e-03 1.10676639e+01 2.73250897e+01],[0.00899021 0.00194374 0.03997274],[2.5429795       nan       nan],0.02
Fam159a,[ 0.08495089 37.15440578 42.7791166 ],[0.08919843 0.04457892 0.20302532],[1.0823042  0.42653749 2.72745816],0.1
Fam159b,[8.47777686e-03 1.12921947e+01 2.78580877e+01],[0.00042389        nan        nan],[2.5410322       nan       nan],0.02
Fam160a2,[0.150677   0.44372957 3.67448355],[0.150677   0.05450159 0.27533392],[ 8.28090752  3.97562222 26.17244313],0.93
Fam160b1,[ 0.24432675 13.05483325 39.70702576],[0.25654309 0.19818263 0.35525585],[3.04155748 1.8403331  4.67434737],0.73
Fam161a,[0.04232133 2.05469501 9.72623528],[0.04232133 0.019676   0.08774029],[ 4.73366376  1.96370947 11.65987696],0.2
Fam162a,[ 0.55835535  1.5378923  13.53277089],[0.55835535 0.43392434 0.7254574 ],[ 8.79955697  6.06215228 12.43436323],3.6
Fam167a,[ 0.02851843 16.41141819 18.29449432],[3.46944695e-18            nan            nan],[1.14818408        nan        nan],0.03
Fam168a,[0.47757592 3.07538361 6.09224391],[0.47757592 0.26504908 0.84814117],[1.9809704  0.96793404 4.3151684 ],0.82
Fam168b,[ 0.53920889 24.81021927 80.5452849 ],[0.56616933 0.39945402 0.70763767],[3.24645599 2.3799523  4.40216185],1.71
Fam171b,[ 0.04314488 14.41666498 24.76870636],[0.00215724        nan        nan],[1.76960258 0.64597541 5.25780512],0.07
Fam173b,[0.04600469 0.28406838 2.31226619],[2.77555756e-17            nan            nan],[8.13982242        nan        nan],0.32
Fam175a,[ 0.72065295 71.66430472 90.8473787 ],[0.7566856  0.53321951 1.03121342],[1.26767962 0.87345302 1.80176956],0.9
Fam175b,[0.36747456 2.26368478 5.92711736],[0.36747456 0.20433043 0.66574254],[2.61834926 1.20355552 5.55138905],0.83
Fam178a,[  1.27921112 161.07237661 227.39431275],[1.27921112 0.98741139 1.71710677],[1.41175239 1.04825445 1.88436181],1.79
Fam178b,[0.22067908 2.32134345 2.61290875],[1.66533454e-16            nan            nan],[4.46863979        nan        nan],0.23
Fam188a,[0.10417144 0.08759689 1.86164815],[0.00520857        nan        nan],[21.2524446        nan        nan],1.01
Fam192a,[0.51797515 0.9512176  5.52681044],[0.51797515 0.33739266 0.78229934],[ 5.81024828  3.25132589 10.4974063 ],1.95
Fam193a,[ 0.25675599  4.32859362 23.13861757],[0.25675599 0.18232761 0.36558591],[5.34552781 3.33536823 8.44323745],1.3
Fam193b,[ 0.65976365 14.80744355 18.23973502],[0.69275183 0.39309986 1.03640407],[1.08397961 0.73374984 2.50940024],0.78
Fam20b,[0.18604827 0.29748237 3.27398862],[0.18604827 0.04782516 0.36707069],[11.00565591         nan         nan],1.26
Fam26f,[0.03958146 5.01573996 9.51034015],[0.03958146 0.00755024 0.09864243],[1.9529821       nan       nan],0.07
Fam32a,[ 0.81787709  2.48597579 13.08161238],[0.81787709 0.60929868 1.13629528],[5.26216403 3.19375466 8.02321001],3.24
Fam35a,[0.3581135  0.57966305 1.58196948],[0.01790568        nan        nan],[10.83460273         nan         nan],0.6
Fam43a,[  0.32002327  91.0376659  137.74213067],[0.32002327 0.22442519 0.49596895],[1.42224212 0.91135521 2.30841093],0.48
Fam49b,[ 0.81396433  2.64376187 10.39933112],[0.81396433 0.56781718 1.24464649],[3.93353547 2.02838571 6.61831204],2.45
Fam53a,[0.45127074 1.25748192 4.06966456],[0.45127074 0.18933215 0.85286318],[ 3.23636029  1.31311099 10.12300124],1.07
Fam63b,[0.15607229 0.33403102 4.08689951],[0.15607229 0.07983774 0.25398061],[12.23508989  6.75969659 26.61262545],1.3
Fam64a,[0.37923757 4.32245702 6.25671293],[5.55111512e-17            nan            nan],[2.70680613        nan        nan],0.5
Fam69b,[0.21399463 1.8067261  3.41824388],[0.21399463 0.04325372 0.46021319],[1.89195467        nan        nan],0.36
Fam73a,[0.26610943 0.43697446 1.43350551],[5.55111512e-17            nan            nan],[3.28052469        nan        nan],0.54
Fam73b,[ 0.17639664 39.14441657 57.64184198],[0.17639664 0.11141116 0.28983122],[1.47254314 0.83138089 2.63453354],0.26
Fam76a,[ 0.56017938 12.90744904 22.63087584],[0.56017938 0.34119801 0.82999564],[1.75331901 1.09694043 3.44497571],0.94
Fam78a,[6.10419603e-02 3.68650459e+01 8.75723439e+01],[0.06104196 0.03327645 0.11523209],[2.37548447 1.09446733 5.77108558],0.14
Fam83h,[0.02716419 0.61928714 4.58278696],[0.02716419 0.00691098 0.05937653],[7.40010026        nan        nan],0.19
Fam86,[  1.04386016  75.49062685 128.4988442 ],[1.04386016 0.80579112 1.38162743],[1.70218277 1.26693502 2.27957943],1.75
Fam89b,[0.11465515 0.92336098 4.43874491],[0.11465515 0.05457561 0.20018749],[ 4.80716102  2.45305462 11.06617704],0.49
Fam92a,[0.24066053 0.48909086 2.53211248],[0.01203303        nan        nan],[5.17718221        nan        nan],0.84
Fam96a,[ 1.05243727  4.43284979 10.37705868],[1.05243727 0.69482148 1.73907259],[2.34094526 1.1342298  4.3437943 ],1.99
Fam96b,[  2.88171477 435.81459908 466.51307591],[2.88171477 2.1881042  3.91109716],[1.0704393  0.78161262 1.43021707],3.06
Fam98a,[0.11496864 0.78800943 6.57157362],[0.11496864 0.06538228 0.18787646],[ 8.33946067  4.5267671  16.17304099],0.84
Fam98b,[  0.76934301 212.91285974 560.95364034],[0.76934301 0.60718688 0.97738633],[2.63466303 2.01474269 3.48461006],2.02
Fanca,[ 0.55288017  5.85465682 10.32002433],[0.55288017 0.31192477 0.90804919],[1.76270355 0.95103235 3.83041274],0.89
Fancc,[0.3803199  2.37365761 2.92876379],[0.01901599        nan        nan],[2.49239942        nan        nan],0.4
Fance,[0.13523776 0.24550288 2.14978804],[2.77555756e-17            nan            nan],[8.75667148        nan        nan],0.76
Fancl,[  0.76956875  56.94175616 115.76022563],[0.80804719 0.60410662 1.01833019],[2.03295847 1.47206624 2.73293065],1.54
Fancm,[ 1.06015496  2.84192316 15.41247696],[1.06015496 0.76672906 1.49107674],[5.42325604 3.14451274 8.98249093],4.19
Far1,[  0.59433956  89.54726661 142.47829885],[0.59433956 0.43151029 0.83474213],[1.59109601 1.10031241 2.3211253 ],0.94
Farp1,[ 0.28965334 50.67309206 52.20164726],[0.28965334 0.18037954 0.49800533],[1.03016503 0.57529882 1.81565634],0.3
Fars2,[0.90074419 5.30318759 6.66701276],[0.90074419 0.43335284 1.68586834],[1.25717083 0.56617916 3.65205121],0.97
Farsa,[ 1.03262049  2.85312676 13.81614867],[1.03262049 0.75257411 1.46718463],[4.84245876 2.75997715 7.87023002],3.67
Farsb,[ 1.80467237 41.89341961 90.42520488],[1.89490598 1.29946522 2.38903263],[2.02895093 1.568541   3.2565445 ],3.73
Fasn,[ 0.45037539  1.03672396 19.13873566],[0.45037539 0.35582079 0.56951824],[18.46078267 13.37486354 25.31273541],5.8
Fastk,[0.72475104 4.14459684 8.6320125 ],[0.72475104 0.43655695 1.23218877],[2.08271464 1.01368557 4.2685562 ],1.28
Fastkd2,[0.62900645 3.18949474 5.54342421],[0.62900645 0.31742669 1.21044103],[1.73802582 0.74670656 4.45781512],0.91
Fastkd5,[0.32369416 1.65341956 3.70888341],[0.32369416 0.12422367 0.65397351],[2.24315927 0.91213795 7.25130529],0.61
Fat1,[0.07654834 0.07996049 2.98966082],[0.00382742        nan        nan],[37.38922497         nan         nan],1.46
Fblim1,[ 1.132295    7.06346286 20.95833664],[1.132295   0.80419746 1.65160628],[2.96714757 1.76784758 4.99584574],2.9
Fbln1,[0.62160475 1.08676578 3.46208144],[0.62160475 0.25937412 1.27332859],[ 3.18567395  1.10846226 10.69118566],1.26
Fbln2,[1.34517304e-02 1.18158488e+01 4.56566330e+01],[1.73472348e-18            nan            nan],[3.97993685        nan        nan],0.05
Fbln5,[1.72552029e-02 8.86731023e+00 4.85675023e+01],[6.9388939e-18           nan           nan],[ 5.64145452  2.11613097 19.99313895],0.09
Fbxl12,[ 0.47998766 17.6298355  17.75763425],[0.50398705 0.17308615 0.82343195],[0.94681406 0.55781921 3.75974141],0.47
Fbxl14,[ 0.86816316 84.22206029 87.28798238],[0.86816316 0.61161895 1.298018  ],[1.03640284 0.67951576 1.53919413],0.89
Fbxl16,[ 0.03649371 12.82168167 30.20652237],[0.00182469        nan        nan],[2.42657078 0.94817436 7.11483125],0.09
Fbxl18,[  0.45437927 166.00517134 287.58072546],[0.45437927 0.33348203 0.62448038],[1.73236004 1.20566012 2.50519367],0.78
Fbxl20,[0.13977122 0.56852523 2.45301282],[0.00698856        nan        nan],[4.31469474        nan        nan],0.48
Fbxl5,[0.29191053 0.39520371 3.79757588],[0.29191053 0.1122489  0.52711169],[ 9.6091604   4.35126915 31.34899733],1.61
Fbxl6,[0.04551398 0.13836764 6.28045439],[0.04551398 0.00898226 0.10364184],[45.38961946         nan         nan],1.55
Fbxo11,[0.42160538 3.09412609 5.02606918],[0.42160538 0.14170841 0.83470626],[1.62439055 0.71367024 6.44062371],0.6
Fbxo15,[1.1254755  1.34868149 7.80838   ],[1.1254755  0.75842013 1.74542392],[ 5.78963978  2.87473354 10.67504013],3.55
Fbxo22,[ 1.0143762   6.59472974 26.46370371],[1.0143762  0.75697997 1.41928852],[4.01285644 2.44579248 6.18573136],3.53
Fbxo24,[ 0.03083079 15.29989664 17.05151704],[0.00154154        nan        nan],[4.42450849        nan        nan],0.03
Fbxo25,[ 0.41101833 10.49149042 13.99820474],[0.41101833 0.21738256 0.66275784],[1.33424368 0.78470518 3.01577137],0.53
Fbxo28,[0.36749145 0.6727795  2.14002581],[0.01837457        nan        nan],[3.18087248        nan        nan],0.76
Fbxo33,[0.13665421 0.44736839 6.66768332],[0.13665421 0.08430841 0.2126679 ],[14.90423436  8.62125129 26.3809457 ],1.56
Fbxo38,[  0.79358124  94.10976454 116.87875949],[0.79358124 0.57874593 1.13468789],[1.24194083 0.85044794 1.7840652 ],0.98
Fbxo42,[0.37245494 0.67129941 3.59631809],[0.37245494 0.11515599 0.87695011],[5.35724897        nan        nan],1.28
Fbxo45,[0.04872769 0.29078758 3.35364942],[0.00243638        nan        nan],[15.33887272         nan         nan],0.48
Fbxo6,[0.40676095 1.76383011 9.31826266],[0.40676095 0.28817355 0.5762457 ],[5.28297063 3.27657912 8.355273  ],1.75
Fbxo7,[0.76700927 2.97685941 4.88376069],[0.76700927 0.38493622 1.5278834 ],[1.64057485 0.64889518 4.38120262],1.0
Fbxo8,[ 0.28376971 17.58814482 28.76113216],[0.2979582  0.20012224 0.43792222],[1.63525673 0.96051472 2.59615202],0.46
Fbxo9,[0.30910077 1.39850957 5.61631605],[0.30910077 0.16624093 0.53841274],[4.01592964 1.92042756 8.79067381],1.02
Fbxw11,[0.23712111 0.28506569 3.75872958],[0.23712111 0.09990433 0.41807411],[13.18548568  6.3596227  37.49111744],1.71
Fbxw2,[0.11553803 0.14403026 7.82355654],[0.11553803 0.05472654 0.20169406],[ 54.31883795  27.31683835 129.13592819],3.48
Fbxw5,[  0.96632878 166.47216307 186.5097829 ],[0.96632878 0.70487889 1.38078219],[1.12036619 0.77002621 1.59647724],1.08
Fbxw7,[ 0.43145953  5.8551922  13.7226764 ],[0.43145953 0.27732555 0.66211054],[2.34367651 1.38004904 4.21326145],0.94
Fbxw8,[0.13163735 0.34207883 4.11390127],[0.13163735 0.05356537 0.22787322],[12.02617919  6.19750264 33.21781638],1.14
Fcf1,[ 2.01375197  7.4561262  50.93546897],[2.01375197 1.54832827 2.7143292 ],[ 6.83135821  4.17548398 10.33462104],10.83
Fcgrt,[ 0.29672097 50.26016143 77.5622789 ],[0.31155702 0.21011683 0.46668258],[1.4969194  0.92691866 2.36371644],0.46
Fcho2,[0.55666493 2.07388942 3.01100248],[0.47316519 0.12654981 1.1575757 ],[1.80030963        nan        nan],0.64
Fchsd2,[ 0.16492682 32.40227468 40.86228582],[0.16492682 0.09591122 0.29774453],[1.26109312 0.64612049 2.48392933],0.21
Fdft1,[ 0.56632401  2.25524151 15.93765846],[0.56632401 0.44015831 0.74446719],[ 7.0669409   4.71997584 10.02038159],3.2
Fdx1,[  1.01459153  93.08575533 104.82865266],[1.01459153 0.82024924 1.45111577],[1.12615139 0.76443425 1.61592549],1.13
Fdxr,[0.18124566 2.15186964 5.03739274],[0.18124566 0.06347447 0.34340053],[2.34093768 1.10949072 7.76436532],0.39
Fech,[0.24285688 0.85006515 3.50639179],[0.24285688 0.08369815 0.4545774 ],[ 4.12485066  1.84603659 14.52588158],0.78
Fem1a,[ 0.80351007 51.23658342 58.49413503],[0.72315906 0.33856197 1.17847551],[1.14164784 0.76409553 1.67090372],0.9
Fem1b,[ 1.00464061  3.44908927 13.69401717],[1.00464061 0.71417288 1.49191257],[3.97032843 2.12805949 6.63068825],3.09
Fen1,[ 1.68436756  4.81416315 20.14781779],[1.68436756 1.20797058 2.52978915],[4.18511321 2.12245479 7.09659966],5.22
Fermt2,[ 0.07435269  0.16791929 11.87849672],[0.07435269 0.02625885 0.13388917],[ 70.73932392  34.3756711  231.82629695],3.65
Fermt3,[0.06044107 2.96305538 5.33032862],[2.08166817e-17            nan            nan],[1.7989298       nan       nan],0.11
Fert2,[ 0.4455235  34.71130827 61.82469409],[0.46779968 0.32160972 0.64218641],[1.78111103 1.20768809 2.63566797],0.78
Fes,[0.02476098 1.37076183 2.88487475],[0.00123805        nan        nan],[2.73595098        nan        nan],0.05
Fez2,[0.40633183 6.4326455  8.41778362],[0.40633183 0.18550613 0.70913734],[1.30860369 0.66992744 3.54981169],0.5
Ffar2,[ 0.0288203  16.2630561  18.13392029],[0.00144101        nan        nan],[1.14848881        nan        nan],0.03
